from,open,close,min,max,volume,fib_1,fib_2,fib_3,fib_4,fib_5,prediction
2023-08-01 16:22:00,1.076555,1.076545,1.076415,1.076575,0,0.07654500000000009,,,,,1.076345
2023-08-01 16:23:00,1.076555,1.076595,1.076465,1.076635,0,0.07659499999999997,0.07654500000000009,,,,1.076435
2023-08-01 16:24:00,1.076595,1.076485,1.076485,1.076625,0,0.07648499999999991,0.07659499999999997,-0.9234549999999999,,,1.076365
2023-08-01 16:25:00,1.076485,1.076505,1.076455,1.076585,0,0.07650500000000005,0.07648499999999991,-0.923405,-1.923455,,1.076275
2023-08-01 16:26:00,1.076515,1.076355,1.076315,1.076535,0,0.07635499999999995,0.07650500000000005,-0.9235150000000001,-1.923405,-3.9234549999999997,1.076075
2023-08-01 16:27:00,1.076355,1.076345,1.076265,1.076355,0,0.07634500000000011,0.07635499999999995,-0.923495,-1.923515,-3.923405,1.076175
2023-08-01 16:28:00,1.076345,1.076435,1.076295,1.076475,0,0.07643500000000003,0.07634500000000011,-0.923645,-1.923495,-3.923515,1.076115
2023-08-01 16:29:00,1.076435,1.076365,1.076335,1.076455,0,0.07636500000000002,0.07643500000000003,-0.9236549999999999,-1.923645,-3.923495,1.076085
2023-08-01 16:30:00,1.076355,1.076275,1.076235,1.076405,0,0.07627500000000009,0.07636500000000002,-0.923565,-1.923655,-3.923645,1.076015
2023-08-01 16:31:00,1.076275,1.076075,1.076075,1.076275,0,0.07607499999999989,0.07627500000000009,-0.923635,-1.923565,-3.923655,1.076105
2023-08-01 16:32:00,1.076075,1.076175,1.076045,1.076175,0,0.0761750000000001,0.07607499999999989,-0.9237249999999999,-1.923635,-3.923565,1.076205
2023-08-01 16:33:00,1.076155,1.076115,1.076115,1.076165,0,0.07611499999999993,0.0761750000000001,-0.9239250000000001,-1.923725,-3.923635,1.076025
2023-08-01 16:34:00,1.076115,1.076085,1.076035,1.076125,0,0.07608499999999996,0.07611499999999993,-0.9238249999999999,-1.923925,-3.923725,1.075935
2023-08-01 16:35:00,1.076085,1.076015,1.075995,1.076105,0,0.07601499999999994,0.07608499999999996,-0.9238850000000001,-1.923825,-3.923925,1.075935
2023-08-01 16:36:00,1.076005,1.076105,1.075995,1.076115,0,0.07610500000000009,0.07601499999999994,-0.923915,-1.923885,-3.923825,1.075845
2023-08-01 16:37:00,1.076105,1.076205,1.076095,1.076245,0,0.07620500000000008,0.07610500000000009,-0.9239850000000001,-1.923915,-3.9238850000000003,1.075855
2023-08-01 16:38:00,1.076205,1.076025,1.076025,1.076235,0,0.07602500000000001,0.07620500000000008,-0.9238949999999999,-1.923985,-3.923915,1.075975
2023-08-01 16:39:00,1.076025,1.075935,1.075905,1.076035,0,0.07593500000000009,0.07602500000000001,-0.9237949999999999,-1.923895,-3.923985,1.076015
2023-08-01 16:40:00,1.075995,1.075935,1.075885,1.075995,0,0.07593500000000009,0.07593500000000009,-0.923975,-1.923795,-3.923895,1.076065
2023-08-01 16:41:00,1.075935,1.075845,1.075845,1.076015,0,0.07584499999999994,0.07593500000000009,-0.9240649999999999,-1.923975,-3.923795,1.076215
2023-08-01 16:42:00,1.075835,1.075855,1.075775,1.075885,0,0.075855,0.07584499999999994,-0.9240649999999999,-1.924065,-3.923975,1.076285
2023-08-01 16:43:00,1.075855,1.075975,1.075855,1.075985,0,0.0759749999999999,0.075855,-0.9241550000000001,-1.924065,-3.9240649999999997,1.076155
2023-08-01 16:44:00,1.075975,1.076015,1.075955,1.076055,0,0.07601499999999994,0.0759749999999999,-0.924145,-1.924155,-3.9240649999999997,1.075985
2023-08-01 16:45:00,1.075925,1.076065,1.075925,1.076075,0,0.07606500000000005,0.07601499999999994,-0.9240250000000001,-1.924145,-3.924155,1.075795
2023-08-01 16:46:00,1.076055,1.076215,1.076015,1.076225,0,0.07621499999999992,0.07606500000000005,-0.9239850000000001,-1.924025,-3.924145,1.075795
2023-08-01 16:47:00,1.076215,1.076285,1.076205,1.076295,0,0.07628499999999994,0.07621499999999992,-0.923935,-1.923985,-3.9240250000000003,1.075985
